Latitude,Longitude,Optimal Tilt (degrees),Optimal Azimuth (degrees),Maximum Energy Output (Joules)
50.75,3.36,39,255,331419927.67104155
50.75,4.325,40,256,333432747.77969265
50.75,5.29,40,257,335465951.3851322
50.75,6.255,41,258,337432188.45940125
50.75,7.22,41,259,339453882.1781956
51.31,3.36,39,255,331670938.335483
51.31,4.325,40,256,333656116.72449535
51.31,5.29,40,257,335617054.69085544
51.31,6.255,41,258,337732750.95873183
51.31,7.22,42,259,339769294.17789614
51.87,3.36,39,254,331991235.7261911
51.87,4.325,40,255,333945123.26158905
51.87,5.29,40,256,335934857.9212141
51.87,6.255,41,257,337914342.25466794
51.87,7.22,42,258,339904128.9603238
52.43,3.36,39,254,332354635.7870637
52.43,4.325,40,254,334259031.9930183
52.43,5.29,40,255,336150668.29807454
52.43,6.255,41,257,338345507.42412806
52.43,7.22,42,257,340195701.92901003
52.989999999999995,3.36,39,253,332622420.4113331
52.989999999999995,4.325,40,254,334636783.4186913
52.989999999999995,5.29,40,255,336561002.88102865
52.989999999999995,6.255,41,256,338506013.1487541
52.989999999999995,7.22,42,257,340511730.9091601
53.55,3.36,39,252,332961447.73466605
53.55,4.325,40,253,334890296.7089037
53.55,5.29,41,254,336962545.65584266
53.55,6.255,41,255,338923460.751695
53.55,7.22,42,256,340825043.45335376
